Ffactor,Fbar,Catch_2017,Catch_2018,Catch_2019,Catch_2020,SSB_2018,SSB_2019,SSB_2020,Change_SSB_2019-2020(%),Change_Catch_2018-2019(%)
0,0,82961.0552536913,27000,0,0,904098.270639837,1018475.28724589,1193689.7768386,17.2036073714183,-100
0.01,0.000668959151852137,82961.0552536913,27000,1022.95518332912,1171.06527231473,904098.270639837,1018475.28724589,1192795.65236261,17.1158168783959,-96.211277098781
0.02,0.00133791830370427,82961.0552536913,27000,2045.16217997831,2339.65334153109,904098.270639837,1018475.28724589,1191902.23151597,17.0280954719139,-92.4253252593396
0.03,0.00200687745555641,82961.0552536913,27000,3066.62157770639,3505.76864440152,904098.270639837,1018475.28724589,1191009.51372732,16.9404430958735,-88.6421423047912
0.04,0.00267583660740855,82961.0552536913,27000,4087.33396379283,4669.41561005614,904098.270639837,1018475.28724589,1190117.49842577,16.8528596942225,-84.8617260600265
0.05,0.00334479575926068,82961.0552536913,27000,5107.29992503817,5830.59866001574,904098.270639837,1018475.28724589,1189226.18504093,16.765345210955,-81.0840743517105
0.06,0.00401375491111282,82961.0552536913,27000,6126.52004776438,6989.3222082047,904098.270639837,1018475.28724589,1188335.57300286,16.6778995901118,-77.30918500828
0.07,0.00468271406296496,82961.0552536913,27000,7144.99491781532,8145.59066096393,904098.270639837,1018475.28724589,1187445.66174211,16.5905227757799,-73.5370558599433
0.08,0.00535167321481709,82961.0552536913,27000,8162.72512055706,9299.40841706376,904098.270639837,1018475.28724589,1186556.45068968,16.5032147120926,-69.7676847386775
0.09,0.00602063236666923,82961.0552536913,27000,9179.71124087836,10450.7798677168,904098.270639837,1018475.28724589,1185667.93927706,16.4159753432296,-66.0010694782283
0.1,0.00668959151852136,82961.0552536913,27000,10195.953863191,11599.7093965908,904098.270639837,1018475.28724589,1184780.12693621,16.328804613417,-62.2372079141074
0.11,0.0073585506703735,82961.0552536913,27000,11211.4535714302,12746.2013798215,904098.270639837,1018475.28724589,1183893.01309955,16.2417024669271,-58.4760978835917
0.12,0.00802750982222564,82961.0552536913,27000,12226.2109490551,13890.2601860253,904098.270639837,1018475.28724589,1183006.59719998,16.1546688480782,-54.7177372257217
0.13,0.00869646897407778,82961.0552536913,27000,13240.226579049,15031.8901763124,904098.270639837,1018475.28724589,1182120.87867086,16.0677037012349,-50.9621237812999
0.14,0.00936542812592991,82961.0552536913,27000,14253.5010439199,16171.0957042991,904098.270639837,1018475.28724589,1181235.85694604,15.980806970808,-47.2092553928893
